customer_id,customer_name,region,country,customer_type,signup_date,preferred_channel,email_opt_in,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,RFM_total,clv_historical,clv_predicted,tenure_years,purchase_freq_per_year,avg_order_value,favorite_category,last_product_purchased,top_purchase_channel,total_units,last_purchase_date,first_purchase_date,total_sessions,avg_pages_per_session,avg_time_on_site,cart_adds,days_since_last_session,total_tickets,avg_csat,avg_resolution_hours,escalation_rate,total_touches,open_rate,conversion_rate,churned,segment,segment_name,churn_probability,predicted_churn,recommended_product,recommendation_score
C100033,Jessica Thompson,Latin America,Chile,Individual,2023-11-14,Online,0,337.0,1.0,249.99,5,5,5,555.0,15.0,249.99,219.48,2.74880219028063,0.3637948207171314,249.99,Home & Kitchen,Espresso Machine,In-Store,1.0,2025-09-11,2025-09-11,12.0,8.25,8.141666666666667,2.0,10.0,1.0,4.0,0.9,0.0,3.0,1.0,0.0,0,4,Loyal High-Value,0.105,0,Cookware Set,0.74
C100034,Lucas Martin,Latin America,Argentina,Individual,2025-02-05,Online,1,73.0,3.0,629.94,3,3,4,334.0,10.0,629.94,575.29,1.5195071868583163,1.9743243243243245,104.99,Home & Kitchen,Perfume,Online,6.0,2026-06-02,2025-12-07,13.0,6.0,6.553846153846154,0.0,172.0,3.0,1.0,13.266666666666666,0.3333333333333333,4.0,0.75,0.0,0,1,New / Occasional,0.0145,0,Skincare Set,0.7826
C100035,Elizabeth Davis,Middle East,Saudi Arabia,Enterprise,2024-11-24,Online,0,108.0,1.0,134.97,3,5,5,355.0,13.0,134.97,106.15,1.7193702943189595,0.5816082802547771,67.485,Electronics,Board Game Set,B2B Direct,3.0,2026-04-28,2026-04-28,17.0,7.470588235294118,7.970588235294118,5.0,77.0,4.0,3.0,8.024999999999999,0.0,6.0,0.8333333333333334,0.1666666666666666,0,2,Regular Customers,0.0085,0,Kids Building Blocks,0.8601
C100036,Barbara Robinson,North America,Canada,Individual,2023-08-06,Marketplace,1,113.0,2.0,654.94,3,4,4,344.0,11.0,654.94,305.59,3.02258726899384,0.6616847826086957,163.735,Sports & Outdoors,Laptop Backpack,Online,6.0,2026-04-23,2025-07-21,11.0,6.909090909090909,7.572727272727272,0.0,71.0,0.0,2.3524457602403785,0.0,0.0,5.0,0.4,0.0,0,1,New / Occasional,0.1237,0,Kids Building Blocks,0.8265
C100037,Wei Johnson,North America,Canada,Individual,2022-08-15,Online,1,45.0,4.0,769.9300000000001,2,3,3,233.0,8.0,769.93,439.16,3.997262149212868,1.0006849315068491,153.98600000000002,Apparel,Laptop Backpack,Online,7.0,2026-06-30,2023-08-21,16.0,7.125,8.15625,2.0,9.0,1.0,4.0,4.7,0.0,3.0,1.0,0.0,0,4,Loyal High-Value,0.0003,0,Winter Jacket,0.7396
C100038,Michael Young,APAC,Australia,Individual,2021-05-14,Online,1,76.0,2.0,124.98,3,4,5,345.0,12.0,124.98,67.83,5.25119780971937,0.3808654848800834,62.49,Apparel,Running Shoes,Online,2.0,2026-05-30,2024-11-17,11.0,6.545454545454546,6.3090909090909095,0.0,38.0,0.0,2.3524457602403785,0.0,0.0,2.0,1.0,0.0,0,1,New / Occasional,0.0561,0,Board Game Set,0.8551
C100039,Ananya Jackson,Europe,Netherlands,Individual,2022-02-25,Marketplace,1,810.0,1.0,40.49,5,5,5,555.0,15.0,40.49,19.24,4.465434633812457,0.2239423666462293,40.49,Toys & Games,Kids Building Blocks,Online,1.0,2024-05-26,2024-05-26,2.0,5.5,7.25,0.0,528.0,2.0,1.0,11.1,0.0,2.0,0.0,0.0,1,1,New / Occasional,0.9987,1,Board Game Set,0.9414
C100040,Lucas Gonzalez,North America,Mexico,Individual,2021-08-01,Online,1,51.0,4.0,975.92,2,3,3,233.0,8.0,975.92,276.21,5.034907597535934,0.7944535073409462,121.99,Home & Kitchen,Office Chair,Online,8.0,2026-06-24,2024-03-28,11.0,7.0,8.936363636363636,1.0,35.0,0.0,2.3524457602403785,0.0,0.0,3.0,0.6666666666666666,0.0,0,1,New / Occasional,0.0089,0,Skincare Set,0.7668
C100041,Ethan White,Europe,Netherlands,Individual,2023-06-19,In-Store,1,226.0,4.0,543.94,5,3,4,534.0,12.0,543.94,366.42,3.154004106776181,1.2682291666666663,108.788,Apparel,Office Chair,Online,6.0,2025-12-31,2024-08-28,9.0,8.88888888888889,8.18888888888889,1.0,170.0,4.0,1.75,16.25,0.25,9.0,0.3333333333333333,0.2222222222222222,1,1,New / Occasional,0.9238,1,Running Shoes,0.7698
C100042,Wei Martinez,North America,Canada,Individual,2022-04-27,Online,1,249.0,5.0,1197.4,5,2,2,522.0,9.0,1197.4,420.93,4.298425735797399,1.163216560509554,133.04444444444445,Home & Kitchen,Kids Building Blocks,Online,10.0,2025-12-08,2024-01-16,6.0,6.5,8.033333333333333,1.0,490.0,4.0,1.5,14.9,0.25,3.0,0.6666666666666666,0.3333333333333333,1,1,New / Occasional,0.9763,1,Cookware Set,0.7776
C100043,David Jones,Latin America,Brazil,Individual,2021-12-14,Marketplace,1,23.0,12.0,3480.78,1,1,1,111.0,3.0,3480.78,1275.83,4.6652977412731005,2.572183098591549,174.039,Electronics,Running Shoes,Online,22.0,2026-07-22,2023-10-27,13.0,7.153846153846154,7.415384615384616,2.0,29.0,1.0,5.0,22.3,0.0,5.0,1.0,0.2,0,4,Loyal High-Value,0.0005,0,Kids Building Blocks,0.8521
C100044,Karen Clark,North America,Canada,Small Business,2021-06-15,In-Store,1,248.0,8.0,3585.81,5,1,1,511.0,7.0,3585.81,1098.02,5.163586584531143,1.5493107104984094,256.1292857142857,Electronics,Laptop Backpack,Online,19.0,2025-12-09,2023-05-20,7.0,4.714285714285714,7.028571428571429,2.0,8.0,1.0,2.0,25.8,0.0,2.0,0.5,0.0,1,1,New / Occasional,0.9803,1,Smart Watch,0.7338
C100045,Richard Harris,APAC,Japan,Individual,2023-07-26,Online,0,382.0,2.0,424.96,5,4,4,544.0,13.0,424.96,167.01,3.052703627652293,0.6551569506726458,106.24,Home & Kitchen,Air Fryer,Online,4.0,2025-07-28,2024-09-19,3.0,5.333333333333333,11.266666666666666,0.0,25.0,1.0,4.0,2.2,0.0,0.0,0.0,0.0,1,4,Loyal High-Value,0.9544,1,Board Game Set,0.8682
C100046,Carlos Miller,North America,USA,Small Business,2021-12-14,Marketplace,1,131.0,4.0,414.95,4,3,4,434.0,11.0,414.95,202.79,4.6652977412731005,0.8573943661971831,82.99,Electronics,Board Game Set,Online,5.0,2026-04-05,2025-06-04,8.0,5.875,8.15,1.0,33.0,0.0,2.3524457602403785,0.0,0.0,5.0,0.8,0.0,0,1,New / Occasional,0.4564,0,Kids Building Blocks,0.875
C100047,Diego Clark,Europe,Germany,Individual,2023-04-29,In-Store,1,358.0,5.0,822.44,5,2,3,523.0,10.0,822.44,515.51,3.293634496919918,1.518079800498753,137.07333333333335,Electronics,Skincare Set,Online,6.0,2025-08-21,2024-12-02,19.0,8.842105263157896,7.278947368421053,2.0,152.0,3.0,1.0,8.9,0.0,4.0,0.5,0.0,1,2,Regular Customers,0.9425,1,Board Game Set,0.821
C100048,Sarah Lee,Europe,France,Small Business,2022-02-02,Marketplace,1,48.0,7.0,2601.86,2,1,1,211.0,4.0,2601.86,955.21,4.528405201916495,1.5457980652962515,216.8216666666667,Sports & Outdoors,Air Fryer,Online,14.0,2026-06-27,2023-04-26,18.0,7.944444444444445,9.255555555555556,2.0,37.0,1.0,2.0,11.1,0.0,5.0,0.8,0.0,0,2,Regular Customers,0.0059,0,Standing Desk,0.7186
C100049,Yuki Ramirez,North America,Canada,Individual,2022-08-06,B2B Direct,1,159.0,5.0,821.9200000000001,4,2,3,423.0,9.0,821.92,358.79,4.0219028062970565,1.2431926480599047,102.74,Home & Kitchen,Laptop Backpack,Online,8.0,2026-03-08,2024-05-16,11.0,5.727272727272728,5.890909090909091,2.0,87.0,0.0,2.3524457602403785,0.0,0.0,5.0,0.4,0.0,0,1,New / Occasional,0.1549,0,Cookware Set,0.7597
C100050,Karen Lee,Latin America,Chile,Individual,2022-12-27,Online,1,66.0,4.0,1408.16,2,3,2,232.0,7.0,1408.16,491.32,3.6303901437371664,1.1018099547511313,156.46222222222224,Sports & Outdoors,Air Fryer,Online,9.0,2026-06-09,2024-12-23,5.0,4.6,5.88,1.0,158.0,2.0,3.0,32.3,0.0,1.0,0.0,0.0,0,1,New / Occasional,0.0186,0,Skincare Set,0.6729
C100051,William Lee,APAC,Singapore,Individual,2024-12-29,Online,1,171.0,4.0,372.96,4,3,4,434.0,11.0,372.96,575.66,1.623545516769336,2.463743676222597,93.24,Furniture,Office Chair,In-Store,4.0,2026-02-24,2025-10-15,25.0,8.24,7.76,4.0,15.0,1.0,3.0,3.3,0.0,9.0,0.8888888888888888,0.1111111111111111,0,2,Regular Customers,0.0122,0,Skincare Set,0.8056
C100052,Lucas Clark,Latin America,Brazil,Individual,2025-05-20,In-Store,0,278.0,1.0,34.99,5,5,5,555.0,15.0,34.99,55.53,1.2347707049965777,0.8098669623059866,34.99,Toys & Games,Board Game Set,Online,1.0,2025-11-09,2025-11-09,15.0,5.933333333333334,6.760000000000001,3.0,15.0,1.0,3.0,4.6,0.0,3.0,1.0,0.3333333333333333,0,2,Regular Customers,0.046,0,Kids Building Blocks,0.9455
C100053,Noah Anderson,Middle East,Qatar,Individual,2024-05-29,In-Store,1,65.0,5.0,1422.36,2,2,2,222.0,6.0,1422.36,764.47,2.209445585215606,2.263011152416357,118.53000000000002,Sports & Outdoors,Winter Jacket,In-Store,14.0,2026-06-10,2025-03-20,9.0,5.777777777777778,5.722222222222222,2.0,71.0,1.0,2.0,7.7,0.0,4.0,0.5,0.25,0,1,New / Occasional,0.006,0,Yoga Mat,0.7169
C100054,Fatima Jones,Europe,Spain,Individual,2021-11-04,Marketplace,1,57.0,6.0,793.38,2,2,3,223.0,7.0,793.38,355.17,4.774811772758385,1.2565940366972477,99.1725,Electronics,Protein Powder,Online,12.0,2026-06-18,2024-06-20,23.0,9.0,8.291304347826086,3.0,144.0,1.0,2.0,4.7,0.0,9.0,0.6666666666666666,0.2222222222222222,0,2,Regular Customers,0.0022,0,Perfume,0.7707
C100055,Omar Taylor,Latin America,Argentina,Individual,2023-09-18,Online,1,1061.0,0.0,0.0,1,1,1,,3.0,0.0,0.0,2.9048596851471595,0.0,0.0,,,Online,0.0,,,1.0,3.0,5.5,0.0,866.0,1.0,4.0,13.5,0.0,1.0,1.0,0.0,1,0,Lost / Dormant,0.996,1,Yoga Mat,0.0045
C100056,Fatima Davis,North America,USA,Individual,2023-03-09,Online,0,71.0,2.0,439.94000000000005,3,4,4,344.0,11.0,439.94,182.6,3.433264887063655,0.5825358851674641,109.985,Electronics,Skincare Set,Online,6.0,2026-06-04,2025-09-12,16.0,7.375,7.6875,0.0,34.0,0.0,2.3524457602403785,0.0,0.0,8.0,0.375,0.125,0,2,Regular Customers,0.0418,0,Board Game Set,0.8682
C100057,Layla White,North America,Canada,Individual,2025-09-17,In-Store,0,331.0,0.0,0.0,1,1,1,,3.0,0.0,0.0,0.9062286105407256,0.0,0.0,,,In-Store,0.0,,,2.0,4.0,3.8,0.0,51.0,1.0,3.0,22.4,0.0,2.0,0.5,0.0,0,0,Lost / Dormant,0.5828,1,Yoga Mat,0.0045
C100058,Yuki Moore,North America,Canada,Small Business,2022-12-20,Online,1,94.0,2.0,714.97,3,4,3,343.0,10.0,714.97,372.22,3.649555099247091,0.5480120030007503,238.32333333333327,Electronics,Wireless Earbuds Pro,Online,3.0,2026-05-12,2024-01-05,1.0,8.0,6.5,1.0,1270.0,0.0,2.3524457602403785,0.0,0.0,1.0,0.0,0.0,0,1,New / Occasional,0.0709,0,Smart Watch,0.8761
C100059,Noah Jones,North America,USA,Individual,2022-04-11,Online,1,408.0,8.0,3049.87,5,1,1,511.0,7.0,3049.87,1300.31,4.342231348391513,1.8423707440100885,277.2609090909091,Furniture,Mountain Bike,Online,13.0,2025-07-02,2024-06-28,8.0,6.375,7.4125,3.0,209.0,1.0,1.0,11.4,0.0,1.0,1.0,1.0,1,1,New / Occasional,0.9514,1,Smart Watch,0.6973
C100060,Omar Thomas,Europe,Netherlands,Individual,2021-04-09,Online,1,15.0,10.0,1987.85,1,1,1,111.0,3.0,1987.85,756.81,5.347022587268994,1.8701996927803377,141.98928571428573,Furniture,Standing Desk,Online,15.0,2026-07-30,2022-12-31,8.0,7.0,6.2,1.0,145.0,0.0,2.3524457602403785,0.0,0.0,3.0,0.3333333333333333,0.3333333333333333,0,3,Champions,0.0008,0,Espresso Machine,0.6975
C100061,Ava Lee,North America,USA,Individual,2024-06-19,Online,1,270.0,2.0,609.97,5,4,4,544.0,13.0,609.97,454.35,2.1519507186858315,0.9293893129770991,203.32333333333327,Furniture,Skincare Set,Online,3.0,2025-11-17,2025-09-16,14.0,7.428571428571429,7.064285714285715,0.0,13.0,5.0,1.6,26.46,0.2,5.0,0.4,0.2,1,2,Regular Customers,0.9833,1,Perfume,0.8733
