customer_id,first_name,last_name,region,country,customer_type,signup_date,preferred_channel,email_opt_in
C100026,Wei,Clark,North America,USA,Individual,2021-06-30,Online,1
C100027,Ananya,Jones,Europe,Germany,Individual,2021-06-06,Online,1
C100028,Barbara,Taylor,Europe,France,Individual,2025-01-17,Online,1
C100029,Michael,Lee,North America,Canada,Individual,2022-07-25,B2B Direct,0
C100030,Yuki,Smith,APAC,Japan,Small Business,2023-05-07,In-Store,1
C100031,Linda,Thomas,North America,USA,Individual,2025-11-20,B2B Direct,1
C100032,Layla,Perez,North America,Mexico,Individual,2025-09-24,In-Store,1
C100033,Jessica,Thompson,Latin America,Chile,Individual,2023-11-14,Online,0
C100034,Lucas,Martin,Latin America,Argentina,Individual,2025-02-05,Online,1
C100035,Elizabeth,Davis,Middle East,Saudi Arabia,Enterprise,2024-11-24,Online,0
C100036,Barbara,Robinson,North America,Canada,Individual,2023-08-06,Marketplace,1
C100037,Wei,Johnson,North America,Canada,Individual,2022-08-15,Online,1
C100038,Michael,Young,APAC,Australia,Individual,2021-05-14,Online,1
C100039,Ananya,Jackson,Europe,Netherlands,Individual,2022-02-25,Marketplace,1
C100040,Lucas,Gonzalez,North America,Mexico,Individual,2021-08-01,Online,1
C100041,Ethan,White,Europe,Netherlands,Individual,2023-06-19,In-Store,1
C100042,Wei,Martinez,North America,Canada,Individual,2022-04-27,Online,1
C100043,David,Jones,Latin America,Brazil,Individual,2021-12-14,Marketplace,1
C100044,Karen,Clark,North America,Canada,Small Business,2021-06-15,In-Store,1
C100045,Richard,Harris,APAC,Japan,Individual,2023-07-26,Online,0
C100046,Carlos,Miller,North America,USA,Small Business,2021-12-14,Marketplace,1
C100047,Diego,Clark,Europe,Germany,Individual,2023-04-29,In-Store,1
C100048,Sarah,Lee,Europe,France,Small Business,2022-02-02,Marketplace,1
C100049,Yuki,Ramirez,North America,Canada,Individual,2022-08-06,B2B Direct,1
C100050,Karen,Lee,Latin America,Chile,Individual,2022-12-27,Online,1
C100051,William,Lee,APAC,Singapore,Individual,2024-12-29,Online,1
C100052,Lucas,Clark,Latin America,Brazil,Individual,2025-05-20,In-Store,0
C100053,Noah,Anderson,Middle East,Qatar,Individual,2024-05-29,In-Store,1
C100054,Fatima,Jones,Europe,Spain,Individual,2021-11-04,Marketplace,1
C100055,Omar,Taylor,Latin America,Argentina,Individual,2023-09-18,Online,1
C100056,Fatima,Davis,North America,USA,Individual,2023-03-09,Online,0
C100057,Layla,White,North America,Canada,Individual,2025-09-17,In-Store,0
C100058,Yuki,Moore,North America,Canada,Small Business,2022-12-20,Online,1
C100059,Noah,Jones,North America,USA,Individual,2022-04-11,Online,1
C100060,Omar,Thomas,Europe,Netherlands,Individual,2021-04-09,Online,1
C100061,Ava,Lee,North America,USA,Individual,2024-06-19,Online,1
C100062,John,Lopez,Middle East,Qatar,Individual,2021-06-07,In-Store,1
C100063,Amara,Taylor,Europe,UK,Individual,2022-09-02,Online,1
C100064,Diego,King,North America,USA,Small Business,2022-07-08,Online,1
C100065,Priya,Hernandez,Europe,France,Individual,2022-10-13,In-Store,1
C100066,Mia,Hernandez,North America,Canada,Individual,2025-12-24,Marketplace,0
C100067,Yuki,Ramirez,Middle East,Qatar,Individual,2023-07-09,Online,0
C100068,Elizabeth,Robinson,North America,USA,Individual,2021-08-15,In-Store,1
C100069,Noah,Wilson,Latin America,Argentina,Small Business,2022-02-27,Online,1
C100070,Barbara,Lee,APAC,Japan,Small Business,2024-01-01,Marketplace,1
C100071,Amara,Young,North America,Canada,Individual,2021-08-31,B2B Direct,1
C100072,Ava,Clark,North America,USA,Individual,2022-06-14,Online,1
C100073,Charles,Davis,Middle East,Saudi Arabia,Individual,2025-06-01,Marketplace,1
C100074,Charles,King,APAC,Singapore,Individual,2023-12-05,Online,1
C100075,Amara,Lee,APAC,India,Individual,2025-02-04,B2B Direct,1
C100076,Mary,Lewis,APAC,Australia,Individual,2022-01-06,Online,1
C100077,Omar,Thomas,North America,USA,Individual,2026-02-22,In-Store,0
C100078,Mia,Brown,Europe,UK,Individual,2022-10-14,Marketplace,0
C100079,Noah,Harris,North America,Canada,Individual,2022-11-20,Online,1
C100080,Diego,Jones,Middle East,Saudi Arabia,Small Business,2023-01-04,Online,1
C100081,Barbara,Jackson,APAC,Australia,Individual,2026-05-05,Online,1
C100082,Karen,Garcia,North America,USA,Small Business,2021-04-02,In-Store,0
C100083,Layla,Robinson,North America,Canada,Individual,2023-11-12,Marketplace,1
C100084,David,Ramirez,North America,USA,Individual,2021-06-21,Marketplace,1
C100085,Mary,Gonzalez,North America,USA,Small Business,2025-06-16,In-Store,1
C100086,Chen,Williams,APAC,Japan,Small Business,2024-04-30,Marketplace,1
C100087,Noah,Brown,APAC,Australia,Individual,2024-01-06,Online,0
C100088,Ananya,Martinez,Middle East,Kuwait,Individual,2024-07-28,In-Store,1
C100089,Charles,Garcia,Europe,Netherlands,Small Business,2024-10-19,Online,1
C100090,Susan,Smith,North America,Canada,Individual,2021-06-28,Online,0
C100091,Thomas,Smith,APAC,Japan,Individual,2021-08-26,In-Store,1
C100092,John,Miller,APAC,South Korea,Small Business,2024-03-04,Online,0
C100093,Ananya,Thomas,Europe,Netherlands,Individual,2023-05-27,Online,0
C100094,Wei,White,APAC,South Korea,Individual,2023-06-21,Marketplace,1
C100095,Lucas,Brown,Europe,Spain,Individual,2021-10-07,In-Store,1
C100096,Karen,Thomas,Europe,UK,Individual,2023-11-09,Online,0
C100097,Chen,Miller,Europe,Netherlands,Individual,2025-06-07,Online,1
C100098,Hiroshi,Harris,North America,Mexico,Individual,2023-01-10,Marketplace,0
C100099,Charles,Anderson,North America,Mexico,Individual,2022-01-06,Online,0
C100100,Chen,Rodriguez,North America,Mexico,Individual,2025-12-06,Marketplace,0
C100101,Fatima,Hernandez,APAC,India,Individual,2024-02-10,Online,1
C100102,Layla,Miller,North America,USA,Individual,2025-11-22,In-Store,1
C100103,Sarah,Thompson,Europe,UK,Small Business,2025-08-27,Online,1
C100104,Sofia,Williams,Latin America,Argentina,Individual,2023-05-20,In-Store,1
C100105,Mia,Miller,North America,Canada,Enterprise,2025-08-31,In-Store,1
C100106,Liam,Williams,Europe,Netherlands,Individual,2023-10-16,In-Store,0
C100107,Charles,Lopez,APAC,South Korea,Small Business,2021-08-09,In-Store,0
C100108,Omar,Williams,North America,Canada,Individual,2023-07-09,Online,1
C100109,Liam,Miller,North America,Canada,Individual,2021-10-31,B2B Direct,1
C100110,Omar,Thompson,North America,Mexico,Small Business,2025-09-23,Online,1
C100111,Michael,Anderson,North America,Canada,Small Business,2024-09-10,Online,1
C100112,Fatima,Thompson,Latin America,Argentina,Individual,2024-12-31,Online,1
C100113,John,Jones,Middle East,UAE,Individual,2022-03-14,Online,0
C100114,Fatima,Lewis,APAC,India,Individual,2024-04-08,Online,1
C100115,Liam,Jackson,Middle East,Saudi Arabia,Small Business,2022-01-10,In-Store,1
C100116,Hiroshi,White,Middle East,UAE,Individual,2025-04-30,In-Store,1
C100117,Joseph,Thompson,North America,Canada,Individual,2022-01-16,Online,1
C100118,Priya,Ramirez,Middle East,Qatar,Individual,2023-09-13,B2B Direct,1
C100119,Thomas,Taylor,Europe,France,Individual,2021-01-14,Online,0
C100120,Karen,Rodriguez,Middle East,UAE,Small Business,2023-01-13,Marketplace,1
C100121,Jessica,Taylor,Middle East,Qatar,Individual,2022-10-31,Online,1
C100122,Chen,Smith,North America,USA,Individual,2022-05-15,Online,1
C100123,Elena,Rodriguez,North America,Canada,Individual,2025-07-28,In-Store,1
C100124,Jessica,Garcia,North America,USA,Individual,2024-11-15,In-Store,1
C100125,Susan,Anderson,Europe,Germany,Individual,2025-04-22,In-Store,1
C100126,Elizabeth,Garcia,Middle East,UAE,Individual,2022-07-19,Marketplace,1
C100127,Mary,Moore,Middle East,Saudi Arabia,Enterprise,2022-06-14,In-Store,1
C100128,Layla,White,North America,USA,Individual,2026-06-30,B2B Direct,1
C100129,Wei,Robinson,Europe,France,Individual,2022-05-07,Online,1
C100130,Mary,Jackson,Europe,UK,Individual,2025-04-23,Online,1
C100131,Michael,Ramirez,North America,USA,Individual,2025-09-19,B2B Direct,0
C100132,Diego,Thompson,North America,Canada,Enterprise,2024-11-09,Online,1
C100133,Ethan,White,North America,Mexico,Individual,2024-05-04,Online,1
C100134,Ava,Clark,Latin America,Argentina,Individual,2023-01-25,Online,1
C100135,Charles,Gonzalez,North America,Canada,Individual,2021-10-27,In-Store,1
C100136,Ethan,Hernandez,Europe,Germany,Individual,2023-03-26,In-Store,1
C100137,Thomas,Anderson,APAC,Australia,Individual,2022-07-01,Online,0
C100138,Mia,Robinson,Europe,UK,Small Business,2022-12-28,Online,1
C100139,Elizabeth,Garcia,Latin America,Argentina,Individual,2023-01-01,Online,1
C100140,Joseph,Harris,Latin America,Argentina,Individual,2023-04-08,Online,1
C100141,John,Walker,North America,USA,Individual,2022-08-25,Online,1
C100142,Ethan,Hernandez,Europe,France,Individual,2024-08-24,In-Store,1
C100143,Sofia,Brown,North America,Mexico,Individual,2026-08-09,Online,1
C100144,Patricia,Anderson,North America,Canada,Small Business,2024-06-29,Online,1
C100145,Sofia,White,North America,USA,Individual,2023-10-29,Online,0
C100146,James,Wilson,APAC,Australia,Individual,2023-02-07,B2B Direct,1
C100147,Thomas,White,Europe,Netherlands,Individual,2023-05-25,Online,1
C100148,Ananya,Thompson,North America,Mexico,Small Business,2024-05-16,Online,0
C100149,Wei,Jones,North America,USA,Individual,2023-07-26,Online,0
C100150,John,Sanchez,Latin America,Chile,Small Business,2021-05-11,Online,1
C100151,Liam,Robinson,North America,Mexico,Individual,2025-10-26,In-Store,1
C100152,Ethan,Williams,North America,USA,Small Business,2025-09-29,Marketplace,0
C100153,David,Moore,Europe,Italy,Individual,2026-06-27,Online,1
C100154,Karen,Perez,Latin America,Argentina,Individual,2025-08-05,In-Store,1
C100155,Susan,Ramirez,North America,Canada,Individual,2025-11-23,Marketplace,1
C100156,Karen,Robinson,APAC,India,Individual,2022-08-31,B2B Direct,0
C100157,Omar,Johnson,APAC,South Korea,Individual,2021-01-26,In-Store,1
C100158,Patricia,Rodriguez,North America,Canada,Individual,2025-07-05,Online,1
C100159,Ava,Smith,APAC,Australia,Individual,2025-01-17,In-Store,1
C100160,Karen,Lee,Europe,France,Individual,2022-09-27,In-Store,1
C100161,William,Ramirez,APAC,Singapore,Enterprise,2024-04-24,Marketplace,1
C100162,Michael,Young,APAC,Japan,Individual,2022-04-29,B2B Direct,1
C100163,Elena,Garcia,Europe,Italy,Small Business,2022-11-11,In-Store,1
C100164,Linda,Thompson,North America,Canada,Individual,2023-12-11,Online,0
C100165,Fatima,Garcia,Middle East,UAE,Individual,2026-03-30,In-Store,1
C100166,Joseph,Perez,North America,Canada,Individual,2021-01-05,Online,1
C100167,James,Walker,North America,Canada,Individual,2022-08-12,Online,1
C100168,Elizabeth,Jackson,North America,USA,Enterprise,2024-03-29,In-Store,0
C100169,Carlos,Davis,Europe,Netherlands,Individual,2021-07-27,Online,0
C100170,Joseph,Davis,APAC,Australia,Small Business,2021-09-14,Online,0
C100171,Ananya,Martin,North America,USA,Small Business,2024-05-13,Online,1
C100172,Wei,White,Europe,UK,Individual,2025-11-26,B2B Direct,1
C100173,Carlos,Gonzalez,North America,Mexico,Enterprise,2026-05-28,Online,1
C100174,Elizabeth,Miller,APAC,Australia,Individual,2021-01-11,Online,1
C100175,Fatima,Davis,North America,USA,Enterprise,2023-08-07,Marketplace,1
C100176,Jessica,Clark,APAC,Singapore,Individual,2021-01-08,In-Store,0
C100177,John,Williams,Europe,UK,Individual,2024-12-03,Online,1
C100178,Layla,Taylor,Latin America,Argentina,Small Business,2023-07-25,In-Store,1
C100179,Liam,Jones,North America,Canada,Individual,2021-02-01,Online,1
C100180,Yuki,Rodriguez,North America,USA,Individual,2026-07-01,In-Store,1
C100181,Lucas,Garcia,North America,Mexico,Individual,2022-06-24,Online,1
C100182,Omar,Davis,Latin America,Brazil,Individual,2025-10-08,Online,1
C100183,Mary,Sanchez,Middle East,Qatar,Individual,2023-10-02,Online,1
C100184,Noah,Martin,North America,USA,Small Business,2022-01-22,Online,1
C100185,Elena,Sanchez,APAC,Australia,Individual,2024-06-05,In-Store,1
C100186,Lucas,Williams,Middle East,UAE,Individual,2022-10-02,Marketplace,1
C100187,Charles,Harris,Europe,France,Individual,2025-11-26,B2B Direct,1
C100188,Mia,Anderson,Europe,UK,Individual,2025-02-07,Marketplace,0
C100189,Sarah,Hernandez,North America,USA,Individual,2025-10-14,Online,0
C100190,Robert,Young,North America,Canada,Small Business,2025-11-10,In-Store,1
C100191,Michael,Young,Middle East,Saudi Arabia,Enterprise,2021-07-26,In-Store,1
C100192,Fatima,Garcia,Latin America,Argentina,Individual,2024-09-03,B2B Direct,1
C100193,Mia,Johnson,APAC,Singapore,Individual,2025-12-24,In-Store,1
C100194,James,Thompson,North America,Canada,Small Business,2025-11-16,Online,1
C100195,Michael,Lewis,North America,USA,Small Business,2022-07-11,Online,1
C100196,Wei,Miller,APAC,Australia,Individual,2025-06-29,In-Store,1
C100197,Robert,Robinson,Middle East,Qatar,Individual,2021-12-14,Online,1
C100198,Charles,Thomas,Middle East,UAE,Small Business,2023-03-04,Online,0
C100199,Diego,Smith,APAC,South Korea,Individual,2021-08-22,Marketplace,1
C100200,David,Gonzalez,APAC,India,Individual,2025-09-21,Online,1
C100201,Sofia,Smith,North America,Canada,Individual,2023-12-04,Online,1
C100202,Sofia,Perez,North America,USA,Individual,2023-10-03,Online,0
C100203,Richard,Lewis,Middle East,Qatar,Individual,2023-01-07,In-Store,0
C100204,Omar,Thomas,APAC,South Korea,Individual,2023-07-31,In-Store,1
C100205,Chen,Rodriguez,North America,Canada,Individual,2024-03-11,Online,1
C100206,Yuki,Harris,North America,Canada,Individual,2025-07-30,Online,1
C100207,Ava,Perez,APAC,South Korea,Individual,2021-06-25,Online,1
C100208,Robert,Johnson,North America,Mexico,Individual,2025-08-05,B2B Direct,1
C100209,William,Smith,North America,USA,Small Business,2022-03-25,Online,1
C100210,Diego,Martinez,Europe,France,Enterprise,2022-08-15,B2B Direct,1
C100211,Layla,White,APAC,Japan,Individual,2021-03-23,Marketplace,1
C100212,Noah,White,APAC,Singapore,Individual,2021-05-15,Online,0
C100213,Robert,Martinez,North America,Canada,Enterprise,2025-10-09,In-Store,1
C100214,John,Martin,APAC,Japan,Individual,2023-05-06,Online,0
C100215,Elena,Lopez,North America,Mexico,Individual,2024-04-15,B2B Direct,1
C100216,Patricia,Thompson,North America,Canada,Small Business,2024-11-07,In-Store,0
C100217,Linda,Thompson,APAC,Singapore,Individual,2024-06-20,In-Store,1
C100218,Thomas,Rodriguez,APAC,Australia,Small Business,2025-05-10,In-Store,0
C100219,Wei,Brown,Middle East,Qatar,Small Business,2024-03-10,Online,0
C100220,Ethan,Lewis,APAC,Japan,Individual,2025-01-20,Online,1
C100221,Carlos,Clark,Europe,Italy,Individual,2022-03-16,In-Store,1
C100222,Elena,Lewis,North America,USA,Individual,2023-12-16,Online,1
C100223,Yuki,Brown,Europe,Netherlands,Individual,2025-03-31,Online,0
C100224,Ethan,Johnson,North America,Canada,Individual,2022-11-28,In-Store,1
C100225,Hiroshi,Miller,North America,Mexico,Individual,2026-01-24,B2B Direct,1
C100226,Omar,Lopez,Latin America,Brazil,Individual,2022-02-23,B2B Direct,0
C100227,Liam,Clark,Europe,UK,Small Business,2021-03-29,Marketplace,1
C100228,Priya,Perez,Middle East,UAE,Individual,2025-06-21,In-Store,0
C100229,Fatima,Anderson,APAC,Australia,Individual,2022-10-18,Marketplace,0
C100230,Karen,Martinez,APAC,Australia,Individual,2023-10-29,In-Store,1
C100231,Priya,Martin,Europe,Germany,Individual,2025-02-09,Online,0
C100232,Thomas,Young,Europe,Italy,Individual,2021-08-03,Online,1
C100233,Susan,Martin,Europe,Italy,Individual,2025-09-05,B2B Direct,1
C100234,Robert,Jones,North America,USA,Individual,2025-10-25,In-Store,1
C100235,Lucas,Lewis,APAC,Singapore,Small Business,2022-07-06,In-Store,0
C100236,Priya,Clark,North America,Canada,Enterprise,2025-03-01,Online,0
C100237,Susan,Sanchez,North America,USA,Individual,2025-09-14,Online,1
C100238,Chen,Hernandez,APAC,India,Individual,2022-05-18,B2B Direct,1
C100239,Yuki,Lewis,North America,USA,Individual,2025-12-11,Marketplace,0
C100240,Lucas,Martin,Latin America,Argentina,Individual,2022-11-30,Marketplace,1
C100241,William,Garcia,Latin America,Argentina,Individual,2021-09-02,Online,1
C100242,Barbara,Davis,Latin America,Chile,Small Business,2025-02-10,Online,1
C100243,Layla,Johnson,Europe,UK,Individual,2021-11-05,Online,1
C100244,Karen,Clark,North America,Mexico,Individual,2021-08-19,Online,0
C100245,Noah,Martin,Latin America,Chile,Individual,2024-11-07,Online,0
C100246,Fatima,Robinson,Europe,Spain,Enterprise,2021-06-04,In-Store,0
C100247,Charles,Lewis,Latin America,Chile,Small Business,2024-04-13,Online,1
C100248,Liam,Johnson,Latin America,Chile,Individual,2023-04-28,B2B Direct,1
C100249,James,Anderson,Middle East,Saudi Arabia,Individual,2021-04-25,B2B Direct,1
C100250,Elizabeth,King,North America,USA,Individual,2024-11-14,Online,0
C100251,James,Hernandez,Europe,Netherlands,Individual,2021-11-07,In-Store,1
C100252,John,White,Middle East,Kuwait,Individual,2023-09-20,In-Store,1
C100253,Wei,Anderson,North America,Mexico,Small Business,2021-10-27,Online,1
C100254,Mary,Jones,North America,Canada,Individual,2023-11-08,Marketplace,1
C100255,David,Rodriguez,Europe,Italy,Enterprise,2023-02-23,Online,1
C100256,Michael,Brown,Latin America,Brazil,Individual,2021-01-12,In-Store,1
C100257,Ananya,Clark,APAC,South Korea,Small Business,2024-11-28,Online,0
C100258,Michael,Brown,Europe,Italy,Small Business,2026-01-11,Marketplace,1
C100259,David,Gonzalez,North America,USA,Individual,2025-09-24,In-Store,1
C100260,Lucas,Lee,APAC,South Korea,Individual,2021-08-20,Marketplace,0
C100261,David,Hernandez,Latin America,Brazil,Individual,2023-08-13,Online,1
C100262,Barbara,Lopez,North America,Mexico,Small Business,2025-06-17,Online,0
C100263,Liam,Wilson,Europe,Italy,Individual,2026-07-07,Online,1
C100264,David,Gonzalez,Middle East,Saudi Arabia,Individual,2022-12-31,Marketplace,1
C100265,Elizabeth,Jones,APAC,Singapore,Individual,2024-07-25,Online,1
C100266,Elizabeth,Lee,APAC,South Korea,Individual,2024-10-08,Online,1
C100267,Thomas,Rodriguez,APAC,Australia,Individual,2023-10-15,Online,1
C100268,Ethan,King,Europe,Italy,Individual,2026-07-30,Online,1
C100269,Patricia,Taylor,North America,Canada,Individual,2023-09-26,Marketplace,1
C100270,Jessica,Clark,Middle East,Kuwait,Individual,2021-10-30,Online,0
C100271,Liam,Smith,Middle East,Qatar,Small Business,2022-06-25,In-Store,1
C100272,Priya,Jones,Middle East,Qatar,Small Business,2022-04-15,Online,1
C100273,Jennifer,Lopez,Latin America,Argentina,Individual,2023-03-24,Online,1
C100274,Lucas,Harris,Europe,Italy,Small Business,2021-03-18,Online,0
C100275,David,Harris,Europe,Germany,Individual,2023-10-17,In-Store,1
C100276,Hiroshi,Lopez,APAC,Australia,Individual,2025-03-25,Online,1
C100277,Ethan,Hernandez,APAC,India,Individual,2021-01-24,Online,1
C100278,Diego,Robinson,APAC,Australia,Individual,2023-11-05,Online,1
C100279,Susan,Clark,APAC,South Korea,Individual,2022-11-07,Marketplace,1
C100280,Amara,Taylor,Middle East,UAE,Individual,2022-06-09,Online,1
C100281,Chen,Robinson,North America,Canada,Individual,2021-12-13,Marketplace,0
C100282,Wei,Williams,Europe,Spain,Small Business,2021-06-21,Online,1
C100283,Elena,Hernandez,North America,Mexico,Individual,2026-03-08,Marketplace,1
C100284,Thomas,King,Europe,Italy,Individual,2024-09-12,In-Store,1
C100285,Thomas,Rodriguez,North America,Canada,Small Business,2022-12-13,In-Store,1
C100286,Joseph,Moore,Europe,Netherlands,Small Business,2025-02-17,Online,0
C100287,Hiroshi,Smith,Europe,UK,Individual,2022-05-04,Online,1
C100288,Chen,Garcia,North America,USA,Individual,2025-01-25,In-Store,1
C100289,William,Jones,Europe,UK,Individual,2022-01-13,In-Store,0
C100290,Ava,Williams,North America,USA,Individual,2025-05-31,In-Store,0
C100291,Thomas,Sanchez,North America,Canada,Individual,2024-04-02,Online,1
C100292,Barbara,Garcia,Middle East,UAE,Individual,2022-01-07,Online,0
C100293,Ava,Hernandez,Europe,France,Small Business,2025-05-16,In-Store,1
C100294,David,Hernandez,North America,Canada,Individual,2023-09-27,Online,1
C100295,Yuki,Thomas,Europe,Netherlands,Enterprise,2023-09-04,B2B Direct,1
C100296,Omar,Martin,APAC,Australia,Small Business,2024-12-18,Marketplace,1
C100297,Patricia,Martin,North America,USA,Enterprise,2023-01-27,Online,1
C100298,Charles,Sanchez,APAC,India,Individual,2022-04-22,In-Store,0
C100299,Richard,Harris,North America,Mexico,Small Business,2022-01-17,In-Store,1
C100300,Amara,Robinson,North America,USA,Individual,2021-06-04,Online,1
C100301,David,Harris,Europe,Italy,Individual,2021-09-14,Online,1
C100302,Lucas,Martinez,Europe,France,Individual,2025-11-15,Online,0
C100303,Michael,Clark,APAC,Japan,Individual,2022-11-05,Online,1
C100304,Michael,Brown,APAC,Singapore,Small Business,2021-03-09,B2B Direct,1
C100305,Ananya,Thomas,Latin America,Brazil,Small Business,2021-12-10,In-Store,0
C100306,David,Lewis,Europe,Netherlands,Individual,2024-07-24,Online,1
C100307,Priya,Lee,North America,Mexico,Individual,2022-11-04,In-Store,0
C100308,Ananya,Walker,APAC,South Korea,Individual,2022-01-26,B2B Direct,1
C100309,John,Jackson,North America,USA,Individual,2025-01-12,Online,1
C100310,John,Young,Europe,France,Small Business,2026-07-18,In-Store,1
C100311,Linda,Brown,North America,Canada,Individual,2021-09-16,Marketplace,0
C100312,Joseph,Wilson,North America,Mexico,Enterprise,2026-07-21,Marketplace,1
C100313,Richard,Smith,Latin America,Argentina,Individual,2021-11-03,In-Store,1
C100314,Layla,Jackson,Middle East,Qatar,Individual,2026-02-14,B2B Direct,1
C100315,Hiroshi,Young,APAC,Australia,Individual,2024-01-24,Online,1
C100316,Liam,Davis,Europe,UK,Individual,2023-08-08,Online,0
C100317,Fatima,Jones,North America,USA,Individual,2025-01-27,Online,0
C100318,Noah,Davis,North America,Mexico,Small Business,2023-08-28,Online,0
C100319,Sarah,Garcia,North America,Canada,Small Business,2021-09-03,Online,1
C100320,Barbara,Hernandez,Europe,Spain,Individual,2023-01-03,Marketplace,0
C100321,Fatima,Gonzalez,APAC,South Korea,Individual,2025-07-17,Marketplace,1
C100322,Mary,Harris,APAC,Singapore,Individual,2021-07-06,Online,1
C100323,Priya,Lewis,North America,USA,Individual,2025-12-03,B2B Direct,1
C100324,Elena,Martin,Latin America,Brazil,Individual,2023-07-14,Online,0
C100325,Wei,Sanchez,APAC,South Korea,Individual,2023-02-24,Online,1
C100326,John,Martin,Europe,UK,Small Business,2024-10-28,In-Store,1
C100327,Thomas,Garcia,APAC,Singapore,Individual,2025-05-15,Online,1
C100328,Michael,Taylor,Europe,France,Enterprise,2024-11-30,Online,0
C100329,Sarah,Clark,North America,Canada,Individual,2022-02-12,B2B Direct,1
C100330,Mary,Jackson,Europe,Germany,Enterprise,2024-02-23,In-Store,1
C100331,Elena,Young,APAC,Japan,Individual,2024-09-22,In-Store,1
C100332,Chen,Thompson,North America,USA,Individual,2021-12-07,B2B Direct,1
C100333,Robert,Walker,North America,Canada,Enterprise,2022-07-17,Marketplace,1
C100334,David,Thomas,North America,USA,Individual,2024-04-16,Online,1
C100335,Layla,Williams,North America,USA,Individual,2022-10-13,Online,1
C100336,Chen,Thomas,Middle East,Saudi Arabia,Individual,2023-08-10,Online,1
C100337,Chen,Thomas,APAC,South Korea,Small Business,2026-02-06,Online,1
C100338,Sarah,Brown,Europe,UK,Small Business,2024-04-08,B2B Direct,1
C100339,Joseph,Jones,North America,Mexico,Individual,2023-11-29,Marketplace,1
C100340,William,Ramirez,Europe,Spain,Individual,2021-03-10,Online,1
C100341,Yuki,Thompson,Europe,UK,Enterprise,2024-06-13,B2B Direct,1
C100342,John,Jackson,North America,USA,Individual,2025-05-03,Online,1
C100343,Priya,Harris,Europe,UK,Individual,2022-01-16,Marketplace,1
C100344,Barbara,Jackson,Europe,UK,Individual,2021-02-26,Online,1
C100345,Elizabeth,Williams,APAC,India,Individual,2024-07-24,Online,1
C100346,David,Davis,APAC,Japan,Individual,2023-04-30,In-Store,1
C100347,Mary,Sanchez,North America,USA,Individual,2024-01-28,In-Store,1
C100348,David,Walker,Europe,France,Individual,2023-07-05,Online,1
C100349,Jessica,Jackson,APAC,Singapore,Individual,2025-03-31,Marketplace,1
C100350,James,Taylor,Europe,France,Individual,2021-11-21,B2B Direct,1
C100351,Ananya,Smith,Middle East,UAE,Individual,2022-04-06,Online,0
C100352,Mia,Gonzalez,APAC,Japan,Small Business,2021-06-28,In-Store,1
C100353,Ava,Lopez,North America,Canada,Individual,2023-04-24,Online,0
C100354,James,Young,North America,Mexico,Individual,2022-07-28,Online,1
C100355,Lucas,White,APAC,Japan,Enterprise,2021-04-29,Marketplace,1
C100356,Susan,White,North America,USA,Individual,2025-02-01,Online,1
C100357,Lucas,Rodriguez,Europe,Netherlands,Individual,2022-07-03,B2B Direct,0
C100358,Hiroshi,Brown,Latin America,Argentina,Individual,2022-10-08,Online,1
C100359,Carlos,Harris,Europe,Netherlands,Small Business,2025-01-18,Online,1
C100360,Ava,White,Europe,Spain,Small Business,2021-01-26,B2B Direct,1
